Year,Month,Underground Line,Temperature
2017,November,Victoria,26.68
2017,November,Waterloo_and_City,21.14
2017,November,Sub-surface_lines,16.04
2017,December,Bakerloo,25.04
2017,December,Central,23.1
2017,December,Jubilee,20.96
2017,December,Northern,22.37
2017,December,Piccadilly,20.27
2017,December,Victoria,24.51
2017,December,Waterloo_and_City,19.26
2017,December,Sub-surface_lines,13.27
2018,January,Bakerloo,24.84
2018,January,Central,22.89
2018,January,Jubilee,20.84
2018,January,Northern,22.19
2018,January,Piccadilly,20.02
2018,January,Victoria,24.21
2018,January,Waterloo_and_City,19
2018,January,Sub-surface_lines,13.49
2018,February,Bakerloo,23.79
2018,February,Central,21.93
2018,February,Jubilee,20.14
2018,February,Northern,21.4
2018,February,Piccadilly,19.04
2018,February,Victoria,22.82
2018,February,Waterloo_and_City,21.21
2018,February,Sub-surface_lines,11.62
2018,March,Bakerloo,23.43
2018,March,Central,22.3
2018,March,Jubilee,20.45
2018,March,Northern,21.49
2018,March,Piccadilly,19.31
2018,March,Victoria,22.6
2018,March,Waterloo_and_City,23.54
2018,March,Sub-surface_lines,12.74
2018,April,Bakerloo,25.59
2018,April,Central,24.87
2018,April,Jubilee,22.5
2018,April,Northern,23.26
2018,April,Piccadilly,21.89
2018,April,Victoria,24.37
2018,April,Waterloo_and_City,24.6
2018,April,Sub-surface_lines,17.28
2018,May,Bakerloo,27.88
2018,May,Central,27.46
2018,May,Jubilee,24.05
2018,May,Northern,25.3
2018,May,Piccadilly,24.27
2018,May,Victoria,26.31
2018,May,Waterloo_and_City,23.01
2018,May,Sub-surface_lines,21.16
2018,June,Bakerloo,29.8
2018,June,Central,29.51
2018,June,Jubilee,25.84
2018,June,Northern,27.19
2018,June,Piccadilly,26.28
2018,June,Victoria,27.69
2018,June,Waterloo_and_City,24.5
2018,June,Sub-surface_lines,24.43
2018,July,Bakerloo,32.41
2018,July,Central,32.02
2018,July,Jubilee,28.16
2018,July,Northern,29.46
2018,July,Piccadilly,28.57
2018,July,Victoria,29.91
2018,July,Waterloo_and_City,26.54
2018,July,Sub-surface_lines,27.72
